Date,Open,High,Low,Close,+/-,Adj Close,Volume
9/11/2017,351.350006,363.709991,350,363.690002,-12.339996,363.690002,7667100
9/12/2017,364.48999,368.76001,360.399994,362.75,1.73999,362.75,5972900
9/13/2017,363.820007,368.070007,359.589996,366.230011,-2.410004,366.230011,4185200
9/14/2017,364.329987,377.959991,362.630005,377.640015,-13.310028,377.640015,7202500
9/15/2017,374.51001,380,372.700012,379.809998,-5.299988,379.809998,5420500
9/18/2017,380.25,389.609985,377.679993,385,-4.75,385,7188000
9/19/2017,380,382.390015,373.570007,375.100006,4.899994,375.100006,6451900
9/20/2017,373,378.25,371.070007,373.910004,-0.910004,373.910004,4919100
9/21/2017,374.899994,376.829987,364.51001,366.480011,8.419983,366.480011,4618200
9/22/2017,366.48999,369.899994,350.880005,351.089996,15.399994,351.089996,8159400
9/25/2017,353.149994,357.470001,342.880005,344.98999,8.160004,344.98999,7605900
9/26/2017,350.929993,351.23999,340.899994,345.25,5.679993,345.25,7156300
9/27/2017,349.899994,351.48999,340.5,340.970001,8.929993,340.970001,6060300
9/28/2017,339.880005,342.75,335.399994,339.600006,0.279999,339.600006,5319600
9/29/2017,341.859985,344.679993,338.600006,341.100006,0.759979,341.100006,5107100
10/2/2017,342.519989,343.700012,335.51001,341.529999,0.98999,341.529999,5286800
10/3/2017,335.899994,348.549988,331.279999,348.140015,-12.240021,348.140015,10153600
10/4/2017,351.25,358.619995,349.600006,355.01001,-3.76001,355.01001,8163500
10/5/2017,356,357.440002,351.350006,355.329987,0.670013,355.329987,4171700
10/6/2017,353.100006,360.100006,352.25,356.880005,-3.779999,356.880005,4215700
10/9/2017,349.649994,351.75,342.670013,342.940002,6.709992,342.940002,7338291
